question;answer;difficulty;diff_score
Karaciğer enzimleri diyetle normale döner mi?;Sağlıklı beslenme, alkolü bırakmak ve kilo kontrolü enzimleri normale döndürebilir.;orta;1445
Karaciğer enzimleri nasıl düşer?;Sağlıklı beslenme, alkolü bırakmak ve kilo kontrolü enzimleri normale döndürebilir.;kolay;1046
Karaciğer kistleri tedavi edilir mi;"Çoğu iyi huyludur ve takip edilir; çok büyük veya şikayet yapıyorsa cerrahi düşünülebilir.";orta;1585
Karaciğer kistleri nasıl tedavi edilir?;"Çoğu iyi huyludur ve takip edilir; çok büyük veya şikayet yapıyorsa cerrahi düşünülebilir.";zor;1947
Karaciğerdeki kistler alınır mı?;"Çoğu iyi huyludur ve takip edilir; çok büyük veya şikayet yapıyorsa cerrahi düşünülebilir.";kolay;1046
Karaciğer kisti olursa ne yapılır?;"Çoğu iyi huyludur ve takip edilir; çok büyük veya şikayet yapıyorsa cerrahi düşünülebilir.";zor;1832
Karaciğer nodülü nedir;"Karaciğerdeki kitlesel oluşumlara verilen genel addır; iyi veya kötü huylu olabilir.";kolay;-194
Karaciğer nodülünün anlamı nedir?;"Karaciğerdeki kitlesel oluşumlara verilen genel addır; iyi veya kötü huylu olabilir.";kolay;369
Karaciğerde nodül çıkması ne demek?;"Karaciğerdeki kitlesel oluşumlara verilen genel addır; iyi veya kötü huylu olabilir.";kolay;435
Karaciğerde nodül varsa ne olur?;"Karaciğerdeki kitlesel oluşumlara verilen genel addır; iyi veya kötü huylu olabilir.";kolay;1226
Karaciğer hastalıklarında mide bulantısı neden olur;Safra akışı bozulabilir, toksin birikimi mide bulantısına yol açabilir.;zor;1713
Karaciğer hastalığında mide bulantısının sebebi nedir?;Safra akışı bozulabilir, toksin birikimi mide bulantısına yol açabilir.;kolay;792
Karaciğer hastalığında neden mide bulanır?;Safra akışı bozulabilir, toksin birikimi mide bulantısına yol açabilir.;zor;1856
Karaciğer hastalığında mide neden bulanır?;Safra akışı bozulabilir, toksin birikimi mide bulantısına yol açabilir.;zor;1856
Karaciğer hastalıklarında kaşıntı neden olur;Safra tuzlarının birikmesi ciltte kaşıntıya sebep olur.;zor;1762
Karaciğer hastalığında kaşıntının nedeni nedir?;Safra tuzlarının birikmesi ciltte kaşıntıya sebep olur.;kolay;591
Karaciğer hastalığında neden kaşıntı olur?;Safra tuzlarının birikmesi ciltte kaşıntıya sebep olur.;zor;2106
Karaciğer hastalığında cilt neden kaşınır?;Safra tuzlarının birikmesi ciltte kaşıntıya sebep olur.;zor;1856
Karaciğer hastalarında kabızlık görülür mü;Evet, özellikle sirozda bağırsak hareketleri yavaşlayabilir.;kolay;906
Karaciğer hastalığında kabızlık olur mu?;Evet, özellikle sirozda bağırsak hareketleri yavaşlayabilir.;orta;125
Karaciğer hastalığı kabızlık yapar mı?;Evet, özellikle sirozda bağırsak hareketleri yavaşlayabilir.;orta;1244
Karaciğer hastalığında neden kabızlık olur?;Evet, özellikle sirozda bağırsak hareketleri yavaşlayabilir.;zor;1859
Karaciğer hastalıklarında kilo almak doğru mu;"İdeal kilonun korunması önemlidir; aşırı kilo almak zararlıdır.";kolay;1095
Karaciğer hastalığında kilo almak zararlı mı?;"İdeal kilonun korunması önemlidir; aşırı kilo almak zararlıdır.";orta;1445
Karaciğer hastalığı olanlar kilo almalı mı?;"İdeal kilonun korunması önemlidir; aşırı kilo almak zararlıdır.";orta;1319
Karaciğer hastalığında kilo almak faydalı mı?;"İdeal kilonun korunması önemlidir; aşırı kilo almak zararlıdır.";orta;1445
Karaciğer sağlığı için ne kadar su içilmeli;"Yeterli sıvı alımı karaciğer fonksiyonlarını destekler; günde 2-2,5 litre önerilir.";kolay;1029
Karaciğer için günlük su ihtiyacı ne kadardır?;"Yeterli sıvı alımı karaciğer fonksiyonlarını destekler; günde 2-2,5 litre önerilir.";orta;1508
Karaciğer hastalığında su tüketimi önemli mi?;"Yeterli sıvı alımı karaciğer fonksiyonlarını destekler; günde 2-2,5 litre önerilir.";orta;1445
Karaciğer sağlığı için günde kaç litre su içilmeli?;"Yeterli sıvı alımı karaciğer fonksiyonlarını destekler; günde 2-2,5 litre önerilir.";zor;3123
Karaciğer hastaları hangi ilaçları kullanamaz;"Parasetamol gibi bazı ağrı kesiciler yüksek dozda zararlı olabilir; her ilaç doktora danışılarak alınmalıdır.";kolay;915
Karaciğer hastalığında hangi ilaçlar sakıncalıdır?;"Parasetamol gibi bazı ağrı kesiciler yüksek dozda zararlı olabilir; her ilaç doktora danışılarak alınmalıdır.";orta;128
Karaciğer hastalığı olanlar hangi ilaçlardan kaçınmalı?;"Parasetamol gibi bazı ağrı kesiciler yüksek dozda zararlı olabilir; her ilaç doktora danışılarak alınmalıdır.";orta;1355
Karaciğer hastalığında ilaç kullanımı nasıl olmalı?;"Parasetamol gibi bazı ağrı kesiciler yüksek dozda zararlı olabilir; her ilaç doktora danışılarak alınmalıdır.";zor;2363
Karaciğer hastalıklarında sigara içmek zararlı mı;Evet, sigara karaciğer hasarını artırabilir, kanser riskini yükseltir.;kolay;1107
Karaciğer hastalığında sigara kullanımı riskli mi?;Evet, sigara karaciğer hasarını artırabilir, kanser riskini yükseltir.;orta;146
Sigara karaciğer hastalığını kötüleştirir mi?;Evet, sigara karaciğer hasarını artırabilir, kanser riskini yükseltir.;orta;1265
Karaciğer hastalığı olanlar sigara içebilir mi?;Evet, sigara karaciğer hasarını artırabilir, kanser riskini yükseltir.;orta;1331
Karaciğer hastalarında psikolojik destek gerekir mi;"Kronik hastalıklar psikolojik yük oluşturur; destek almak önemlidir.";kolay;1113
Karaciğer hastalığında psikolojik destek önemli mi?;"Kronik hastalıklar psikolojik yük oluşturur; destek almak önemlidir.";orta;1463
Karaciğer hastalığı olanlar psikolojik yardım almalı mı?;"Kronik hastalıklar psikolojik yük oluşturur; destek almak önemlidir.";orta;1538
Karaciğer hastalığında ruhsal destek gerekir mi?;"Kronik hastalıklar psikolojik yük oluşturur; destek almak önemlidir.";orta;1454
Karaciğer hastalarında spor yapılabilir mi;"Hafif-orta düzey egzersiz faydalıdır; doktor önerisine göre planlanmalıdır.";kolay;906
Karaciğer hastalığı olanlar spor yapabilir mi?;"Hafif-orta düzey egzersiz faydalıdır; doktor önerisine göre planlanmalıdır.";orta;1328
Karaciğer hastalığında egzersiz yapılır mı?;"Hafif-orta düzey egzersiz faydalıdır; doktor önerisine göre planlanmalıdır.";orta;1259
Karaciğer hastalığı olanlar hangi sporu yapabilir?;"Hafif-orta düzey egzersiz faydalıdır; doktor önerisine göre planlanmalıdır.";orta;134
Karaciğer hastalıkları çocuklarda da görülür mü;Evet, doğumsal metabolik hastalıklar, viral hepatitler çocuklarda da görülebilir.;kolay;981
Çocuklarda karaciğer hastalığı olur mu?;Evet, doğumsal metabolik hastalıklar, viral hepatitler çocuklarda da görülebilir.;orta;1247
Çocuklarda karaciğer rahatsızlığı görülür mü?;Evet, doğumsal metabolik hastalıklar, viral hepatitler çocuklarda da görülebilir.;orta;1265
Çocuklarda karaciğer hastalığı gelişir mi?;Evet, doğumsal metabolik hastalıklar, viral hepatitler çocuklarda da görülebilir.;orta;1256
Karaciğer ile ilgili: Çocuklarda hepatit A nasıl önlenir;Hijyen kurallarına uymak ve aşı yaptırmak korunmada etkilidir.;orta;1248
Karaciğer ile ilgili: Çocuklarda hepatit A'dan korunmak için ne yapılmalı?;Hijyen kurallarına uymak ve aşı yaptırmak korunmada etkilidir.;zor;2072
Karaciğer ile ilgili: Çocuklarda hepatit A'ya karşı nasıl önlem alınır?;Hijyen kurallarına uymak ve aşı yaptırmak korunmada etkilidir.;zor;1943
Karaciğer ile ilgili: Çocuklarda hepatit A bulaşmasın diye ne yapılır?;Hijyen kurallarına uymak ve aşı yaptırmak korunmada etkilidir.;zor;20
Karaciğer ile ilgili: Çocuklarda hepatit B nasıl önlenir;Doğumda aşı yapılması en etkili korumadır.;orta;1248
Karaciğer ile ilgili: Çocuklarda hepatit B'den korunmanın yolu nedir?;Doğumda aşı yapılması en etkili korumadır.;orta;1317
Karaciğer ile ilgili: Çocuklarda hepatit B'ye karşı ne yapılmalı?;Doğumda aşı yapılması en etkili korumadır.;zor;1865
Karaciğer ile ilgili: Çocuklarda hepatit B bulaşmasın diye ne yapılır?;Doğumda aşı yapılması en etkili korumadır.;zor;20
Karaciğer büyümesi nedir;"Hepatomegali olarak bilinir; iltihap, yağlanma veya kalp yetmezliği gibi birçok sebepten kaynaklanabilir.";kolay;-188
Karaciğer ile ilgili: Hepatomegali ne anlama gelir?;"Hepatomegali olarak bilinir; iltihap, yağlanma veya kalp yetmezliği gibi birçok sebepten kaynaklanabilir.";kolay;603
Karaciğerin büyümesi ne demek?;"Hepatomegali olarak bilinir; iltihap, yağlanma veya kalp yetmezliği gibi birçok sebepten kaynaklanabilir.";kolay;24
Karaciğer neden büyür?;"Hepatomegali olarak bilinir; iltihap, yağlanma veya kalp yetmezliği gibi birçok sebepten kaynaklanabilir.";orta;1436
Karaciğer küçülmesi ne anlama gelir;"Genelde ileri sirozda görülür; karaciğer dokusu kaybına işaret eder.";kolay;85
Karaciğerin küçülmesi ne demek?;"Genelde ileri sirozda görülür; karaciğer dokusu kaybına işaret eder.";kolay;243
Karaciğer neden küçülür?;"Genelde ileri sirozda görülür; karaciğer dokusu kaybına işaret eder.";orta;1442
Karaciğer dokusu neden azalır?;"Genelde ileri sirozda görülür; karaciğer dokusu kaybına işaret eder.";zor;164
Karaciğer hastalıklarında ömür beklentisi nedir;Hastalığın türüne, evresine ve tedaviye bağlı olarak değişir.;kolay;241
Karaciğer hastalığında yaşam süresi neye bağlıdır?;Hastalığın türüne, evresine ve tedaviye bağlı olarak değişir.;orta;158
Karaciğer hastalığı olanların ömrü ne kadar olur?;Hastalığın türüne, evresine ve tedaviye bağlı olarak değişir.;orta;1517
Karaciğer hastalığında ömür neye göre değişir?;Hastalığın türüne, evresine ve tedaviye bağlı olarak değişir.;orta;1568
Karaciğer dostu besinler nelerdir;Yeşil sebzeler, tam tahıllar, balık, ceviz gibi sağlıklı yağlar önerilir.;kolay;819
Karaciğer için faydalı yiyecekler hangileridir?;Yeşil sebzeler, tam tahıllar, balık, ceviz gibi sağlıklı yağlar önerilir.;orta;1271
Karaciğer sağlığına iyi gelen besinler nelerdir?;Yeşil sebzeler, tam tahıllar, balık, ceviz gibi sağlıklı yağlar önerilir.;orta;1574
Karaciğer dostu gıdalar neler?;Yeşil sebzeler, tam tahıllar, balık, ceviz gibi sağlıklı yağlar önerilir.;kolay;116
Karaciğer tahlilleri normal ama şikayet varsa ne olur;Diğer organlar, bağırsaklar veya safra yolları da incelenmelidir.;orta;1479
Karaciğer testleri normal çıkarsa ama şikayet devam ederse ne yapılır?;Diğer organlar, bağırsaklar veya safra yolları da incelenmelidir.;zor;224
Karaciğer değerleri normal ama sorun varsa ne olur?;Diğer organlar, bağırsaklar veya safra yolları da incelenmelidir.;zor;1823
Karaciğer tahlilleri temiz ama şikayet varsa neye bakılır?;Diğer organlar, bağırsaklar veya safra yolları da incelenmelidir.;zor;1964
Karaciğer hastalıklarında doktor takibi ne sıklıkta olmalı;Kronik hastalıklarda 3-6 ayda bir kontroller önerilir.;orta;1314
Karaciğer hastalığında kontrol aralığı ne olmalı?;Kronik hastalıklarda 3-6 ayda bir kontroller önerilir.;orta;1457
Karaciğer hastalığı olanlar ne kadar sıklıkla doktora gitmeli?;Kronik hastalıklarda 3-6 ayda bir kontroller önerilir.;zor;1616
Karaciğer hastalığında takip süresi ne kadardır?;Kronik hastalıklarda 3-6 ayda bir kontroller önerilir.;orta;1454
Karaciğer hastaları oruç tutabilir mi;"Doktor kontrolü olmadan oruç önerilmez; duruma göre karar verilir.";kolay;891
Karaciğer hastalığı olanlar oruç tutabilir mi?;"Doktor kontrolü olmadan oruç önerilmez; duruma göre karar verilir.";orta;1328
Karaciğer hastalığında oruç sakıncalı mı?;"Doktor kontrolü olmadan oruç önerilmez; duruma göre karar verilir.";orta;1253
Karaciğer hastalığı olanlar oruç tutarsa ne olur?;"Doktor kontrolü olmadan oruç önerilmez; duruma göre karar verilir.";orta;1517
Karaciğer nedir;Karaciğer, karnın sağ üst kısmında yer alan, vücudun en büyük organlarından biridir. Besinleri işler, zararlı maddeleri temizler ve safra üretir.;kolay;-395
Karaciğerin tanımı nedir?;Karaciğer, karnın sağ üst kısmında yer alan, vücudun en büyük organlarından biridir. Besinleri işler, zararlı maddeleri temizler ve safra üretir.;kolay;165
Karaciğer ne işe yarar?;Karaciğer, karnın sağ üst kısmında yer alan, vücudun en büyük organlarından biridir. Besinleri işler, zararlı maddeleri temizler ve safra üretir.;kolay;1019
Karaciğer vücutta ne yapar?;Karaciğer, karnın sağ üst kısmında yer alan, vücudun en büyük organlarından biridir. Besinleri işler, zararlı maddeleri temizler ve safra üretir.;kolay;1031
Karaciğerin görevi nedir;Karaciğer, besinlerin sindirilmesi, toksinlerin atılması, enerji depolanması ve kanın pıhtılaşmasına yardımcı olan proteinlerin üretilmesi gibi önemli işlevleri yürütür.;kolay;-188
Karaciğerin işlevleri nelerdir?;Karaciğer, besinlerin sindirilmesi, toksinlerin atılması, enerji depolanması ve kanın pıhtılaşmasına yardımcı olan proteinlerin üretilmesi gibi önemli işlevleri yürütür.;kolay;983
Karaciğer hangi görevleri üstlenir?;Karaciğer, besinlerin sindirilmesi, toksinlerin atılması, enerji depolanması ve kanın pıhtılaşmasına yardımcı olan proteinlerin üretilmesi gibi önemli işlevleri yürütür.;kolay;1055
Karaciğer vücutta ne gibi işlevlere sahiptir?;Karaciğer, besinlerin sindirilmesi, toksinlerin atılması, enerji depolanması ve kanın pıhtılaşmasına yardımcı olan proteinlerin üretilmesi gibi önemli işlevleri yürütür.;orta;1325
Karaciğer ile ilgili: Hepatit nedir;Hepatit, karaciğer iltihaplanmasıdır. Genellikle virüslerden kaynaklanır ama alkol kullanımı veya bağışıklık sistemi bozuklukları da sebep olabilir.;kolay;-35
Karaciğer ile ilgili: Hepatit hastalığı ne demektir?;Hepatit, karaciğer iltihaplanmasıdır. Genellikle virüslerden kaynaklanır ama alkol kullanımı veya bağışıklık sistemi bozuklukları da sebep olabilir.;orta;1406
Karaciğer iltihabı nedir?;Hepatit, karaciğer iltihaplanmasıdır. Genellikle virüslerden kaynaklanır ama alkol kullanımı veya bağışıklık sistemi bozuklukları da sebep olabilir.;kolay;165
Karaciğer ile ilgili: Hepatit nasıl bir hastalıktır?;Hepatit, karaciğer iltihaplanmasıdır. Genellikle virüslerden kaynaklanır ama alkol kullanımı veya bağışıklık sistemi bozuklukları da sebep olabilir.;orta;1406
Karaciğer ile ilgili: Siroz nedir;Siroz, karaciğer dokusunun hasar görüp skar dokusuna dönüşmesiyle karaciğerin normal işlevini kaybetmesidir.;kolay;-41
Karaciğer ile ilgili: Siroz hastalığı ne demektir?;Siroz, karaciğer dokusunun hasar görüp skar dokusuna dönüşmesiyle karaciğerin normal işlevini kaybetmesidir.;orta;14
Karaciğerde siroz ne anlama gelir?;Siroz, karaciğer dokusunun hasar görüp skar dokusuna dönüşmesiyle karaciğerin normal işlevini kaybetmesidir.;kolay;432
Karaciğer ile ilgili: Siroz olunca ne olur?;Siroz, karaciğer dokusunun hasar görüp skar dokusuna dönüşmesiyle karaciğerin normal işlevini kaybetmesidir.;orta;1379
Yağlı karaciğer hastalığı nedir;Karaciğer hücrelerinde aşırı yağ birikmesiyle oluşur. Alkol kullanımına bağlı veya bağımsız olabilir.;kolay;13
Yağlı karaciğer hastalığı ne demek?;Karaciğer hücrelerinde aşırı yağ birikmesiyle oluşur. Alkol kullanımına bağlı veya bağımsız olabilir.;kolay;435
Karaciğerde yağlanma nedir?;Karaciğer hücrelerinde aşırı yağ birikmesiyle oluşur. Alkol kullanımına bağlı veya bağımsız olabilir.;kolay;171
Yağlı karaciğer ne anlama gelir?;Karaciğer hücrelerinde aşırı yağ birikmesiyle oluşur. Alkol kullanımına bağlı veya bağımsız olabilir.;kolay;426
Alkolik karaciğer hastalığı nedir;Uzun süreli ve aşırı alkol kullanımı sonucu karaciğerin zarar görmesi durumudur.;kolay;19
Alkole bağlı karaciğer hastalığı nedir?;Uzun süreli ve aşırı alkol kullanımı sonucu karaciğerin zarar görmesi durumudur.;kolay;567
Alkolik karaciğer hastalığı ne demek?;Uzun süreli ve aşırı alkol kullanımı sonucu karaciğerin zarar görmesi durumudur.;kolay;441
Alkol kullanımı karaciğeri nasıl bozar?;Uzun süreli ve aşırı alkol kullanımı sonucu karaciğerin zarar görmesi durumudur.;zor;2147
Karaciğer ile ilgili: NAFLD nedir;Non-alkolik yağlı karaciğer hastalığı, alkol kullanımı olmadan karaciğerde yağ birikmesiyle oluşur.;kolay;-41
Non-alkolik yağlı karaciğer hastalığı ne demek?;Non-alkolik yağlı karaciğer hastalığı, alkol kullanımı olmadan karaciğerde yağ birikmesiyle oluşur.;kolay;831
Karaciğer ile ilgili: NAFLD hastalığı nedir?;Non-alkolik yağlı karaciğer hastalığı, alkol kullanımı olmadan karaciğerde yağ birikmesiyle oluşur.;kolay;522
Alkolsüz yağlı karaciğer hastalığı nedir?;Non-alkolik yağlı karaciğer hastalığı, alkol kullanımı olmadan karaciğerde yağ birikmesiyle oluşur.;kolay;573
Karaciğer yetmezliği nedir;Karaciğerin görevlerini yerine getirememesi durumudur. Ani (akut) veya uzun vadeli (kronik) olabilir.;kolay;-182
Karaciğer yetmezliği ne anlama gelir?;Karaciğerin görevlerini yerine getirememesi durumudur. Ani (akut) veya uzun vadeli (kronik) olabilir.;kolay;441
Karaciğer çalışmazsa ne olur?;Karaciğerin görevlerini yerine getirememesi durumudur. Ani (akut) veya uzun vadeli (kronik) olabilir.;kolay;1037
Karaciğer yetmezliği olursa ne olur?;Karaciğerin görevlerini yerine getirememesi durumudur. Ani (akut) veya uzun vadeli (kronik) olabilir.;zor;1838
Karaciğer kanseri nedir;Karaciğer hücrelerinin kontrolsüz şekilde çoğalarak tümör oluşturmasıdır.;kolay;-191
Karaciğer kanseri ne demek?;Karaciğer hücrelerinin kontrolsüz şekilde çoğalarak tümör oluşturmasıdır.;kolay;231
Karaciğerde kanser oluşursa ne olur?;Karaciğer hücrelerinin kontrolsüz şekilde çoğalarak tümör oluşturmasıdır.;kolay;1238
Karaciğer kanseri nasıl bir hastalıktır?;Karaciğer hücrelerinin kontrolsüz şekilde çoğalarak tümör oluşturmasıdır.;orta;125
Karaciğer ile ilgili: Hepatocellular carcinoma (HCC) nedir;Karaciğer kanserinin en yaygın türüdür ve genellikle siroz zemininde gelişir.;kolay;394
Karaciğer ile ilgili: Hepatoselüler karsinom nedir?;Karaciğer kanserinin en yaygın türüdür ve genellikle siroz zemininde gelişir.;kolay;543
Karaciğer ile ilgili: HCC hastalığı ne demek?;Karaciğer kanserinin en yaygın türüdür ve genellikle siroz zemininde gelişir.;kolay;585
Karaciğer ile ilgili: HCC nedir, ne anlama gelir?;Karaciğer kanserinin en yaygın türüdür ve genellikle siroz zemininde gelişir.;kolay;1027
Karaciğer hastalıklarının belirtileri nelerdir;Yorgunluk, sarılık, karın şişliği, kilo kaybı, iştahsızlık ve koyu renkli idrar görülebilir.;kolay;858
Karaciğer hastalığında hangi belirtiler olur?;Yorgunluk, sarılık, karın şişliği, kilo kaybı, iştahsızlık ve koyu renkli idrar görülebilir.;orta;1265
Karaciğer hastalığı nasıl anlaşılır?;Yorgunluk, sarılık, karın şişliği, kilo kaybı, iştahsızlık ve koyu renkli idrar görülebilir.;kolay;1058
Karaciğer hastalığı olanlarda ne gibi şikayetler olur?;Yorgunluk, sarılık, karın şişliği, kilo kaybı, iştahsızlık ve koyu renkli idrar görülebilir.;orta;1532
Karaciğer ile ilgili: Sarılık nedir;Karaciğer hastalıklarında sık görülen, cilt ve gözlerin sararması durumudur. Bilirubin birikimi sonucu oluşur.;kolay;215
Karaciğer ile ilgili: Sarılık hastalığı ne demek?;Karaciğer hastalıklarında sık görülen, cilt ve gözlerin sararması durumudur. Bilirubin birikimi sonucu oluşur.;kolay;847
Karaciğer ile ilgili: Ciltte sararma neden olur?;Karaciğer hastalıklarında sık görülen, cilt ve gözlerin sararması durumudur. Bilirubin birikimi sonucu oluşur.;zor;1994
Karaciğer ile ilgili: Sarılık olunca ne olur?;Karaciğer hastalıklarında sık görülen, cilt ve gözlerin sararması durumudur. Bilirubin birikimi sonucu oluşur.;zor;1635
Karaciğer hastalıkları nasıl teşhis edilir;Kan testleri, ultrason, MR, biyopsi ve diğer görüntüleme yöntemleriyle tanı konulur.;kolay;906
Karaciğer hastalığı tanısı nasıl konur?;Kan testleri, ultrason, MR, biyopsi ve diğer görüntüleme yöntemleriyle tanı konulur.;orta;1247
Karaciğer hastalığı için hangi tetkikler yapılır?;Kan testleri, ultrason, MR, biyopsi ve diğer görüntüleme yöntemleriyle tanı konulur.;orta;1337
Karaciğer hastalığı nasıl anlaşılır?;Kan testleri, ultrason, MR, biyopsi ve diğer görüntüleme yöntemleriyle tanı konulur.;kolay;1058
Karaciğer biyopsisi nedir;Karaciğerden küçük bir doku örneği alınarak laboratuvarda incelenmesidir.;kolay;-185
Karaciğer biyopsisi ne demek?;Karaciğerden küçük bir doku örneği alınarak laboratuvarda incelenmesidir.;kolay;237
Karaciğerden biyopsi alınması ne anlama gelir?;Karaciğerden küçük bir doku örneği alınarak laboratuvarda incelenmesidir.;kolay;648
Karaciğer biyopsisi nasıl yapılır?;Karaciğerden küçük bir doku örneği alınarak laboratuvarda incelenmesidir.;kolay;1052
Karaciğer hastalıkları nasıl tedavi edilir;Nedene bağlıdır. İlaç tedavisi, yaşam tarzı değişiklikleri, alkolün bırakılması veya ileri vakalarda karaciğer nakli gerekebilir.;zor;1606
Karaciğer hastalığı tedavisinde hangi yöntemler kullanılır?;Nedene bağlıdır. İlaç tedavisi, yaşam tarzı değişiklikleri, alkolün bırakılması veya ileri vakalarda karaciğer nakli gerekebilir.;orta;1487
Karaciğer hastalığı nasıl iyileşir?;Nedene bağlıdır. İlaç tedavisi, yaşam tarzı değişiklikleri, alkolün bırakılması veya ileri vakalarda karaciğer nakli gerekebilir.;kolay;1055
Karaciğer hastalığı olanlar nasıl tedavi edilir?;Nedene bağlıdır. İlaç tedavisi, yaşam tarzı değişiklikleri, alkolün bırakılması veya ileri vakalarda karaciğer nakli gerekebilir.;zor;2034
Karaciğer nakli nedir;Hasar gören karaciğerin bir donörden alınan sağlıklı karaciğerle değiştirilmesidir.;kolay;-197
Karaciğer nakli ne demek?;Hasar gören karaciğerin bir donörden alınan sağlıklı karaciğerle değiştirilmesidir.;kolay;225
Karaciğer nakli nasıl yapılır?;Hasar gören karaciğerin bir donörden alınan sağlıklı karaciğerle değiştirilmesidir.;kolay;104
Karaciğer nakli olursa ne olur?;Hasar gören karaciğerin bir donörden alınan sağlıklı karaciğerle değiştirilmesidir.;zor;1823
Karaciğer ile ilgili: Hepatit B nasıl bulaşır;Kan yolu, cinsel temas veya anneden bebeğe geçişle bulaşabilir.;kolay;1035
Karaciğer ile ilgili: Hepatit B virüsü hangi yollarla yayılır?;Kan yolu, cinsel temas veya anneden bebeğe geçişle bulaşabilir.;zor;1796
Karaciğer ile ilgili: Hepatit B enfeksiyonu nasıl geçer?;Kan yolu, cinsel temas veya anneden bebeğe geçişle bulaşabilir.;orta;1598
Karaciğer ile ilgili: Hepatit B başkasına nasıl bulaşır?;Kan yolu, cinsel temas veya anneden bebeğe geçişle bulaşabilir.;orta;1598
Karaciğer ile ilgili: Hepatit C nasıl bulaşır;En yaygın bulaş yolu kan temasıdır. Enjekte ilaç kullanımı yaygın bir risktir.;kolay;1035
Karaciğer ile ilgili: Hepatit C virüsü hangi yolla bulaşır?;En yaygın bulaş yolu kan temasıdır. Enjekte ilaç kullanımı yaygın bir risktir.;zor;1787
Karaciğer ile ilgili: Hepatit C enfeksiyonu nasıl geçer?;En yaygın bulaş yolu kan temasıdır. Enjekte ilaç kullanımı yaygın bir risktir.;orta;1598
Karaciğer ile ilgili: Hepatit C başkasına nasıl bulaşır?;En yaygın bulaş yolu kan temasıdır. Enjekte ilaç kullanımı yaygın bir risktir.;orta;1598
Karaciğer ile ilgili: Hepatit A nasıl bulaşır;Genellikle kirli su veya yiyeceklerle ağız yoluyla bulaşır.;kolay;1035
Karaciğer ile ilgili: Hepatit A virüsü hangi yolla yayılır?;Genellikle kirli su veya yiyeceklerle ağız yoluyla bulaşır.;zor;1787
Karaciğer ile ilgili: Hepatit A enfeksiyonu nasıl geçer?;Genellikle kirli su veya yiyeceklerle ağız yoluyla bulaşır.;orta;1598
Karaciğer ile ilgili: Hepatit A başkasına nasıl bulaşır?;Genellikle kirli su veya yiyeceklerle ağız yoluyla bulaşır.;orta;1598
Karaciğer ile ilgili: Hepatit B aşısı var mı;Evet, Hepatit B enfeksiyonuna karşı etkili bir aşı vardır.;kolay;1212
Karaciğer ile ilgili: Hepatit B için aşı mevcut mu?;Evet, Hepatit B enfeksiyonuna karşı etkili bir aşı vardır.;zor;2343
Karaciğer ile ilgili: Hepatit B'ye karşı aşı var mı?;Evet, Hepatit B enfeksiyonuna karşı etkili bir aşı vardır.;zor;2526
Karaciğer ile ilgili: Hepatit B aşısı bulunuyor mu?;Evet, Hepatit B enfeksiyonuna karşı etkili bir aşı vardır.;orta;1583
Karaciğer ile ilgili: Hepatit C aşısı var mı;Hayır, şu anda Hepatit C için onaylı bir aşı yoktur.;kolay;1212
Karaciğer ile ilgili: Hepatit C için aşı mevcut mu?;Hayır, şu anda Hepatit C için onaylı bir aşı yoktur.;zor;2343
Karaciğer ile ilgili: Hepatit C'ye karşı aşı var mı?;Hayır, şu anda Hepatit C için onaylı bir aşı yoktur.;zor;2526
Karaciğer ile ilgili: Hepatit C aşısı bulunuyor mu?;Hayır, şu anda Hepatit C için onaylı bir aşı yoktur.;orta;1583
Karaciğer sağlığı için nasıl beslenmeli;Düşük yağlı, dengeli beslenme, alkol ve işlenmiş gıdalardan kaçınma önerilir.;kolay;777
Karaciğer sağlığı için beslenme önerileri nelerdir?;Düşük yağlı, dengeli beslenme, alkol ve işlenmiş gıdalardan kaçınma önerilir.;zor;2163
Karaciğer için nasıl bir diyet uygulanmalı?;Düşük yağlı, dengeli beslenme, alkol ve işlenmiş gıdalardan kaçınma önerilir.;zor;2019
Karaciğer sağlığı için ne yemeli?;Düşük yağlı, dengeli beslenme, alkol ve işlenmiş gıdalardan kaçınma önerilir.;kolay;1109
Karaciğer hastalıkları önlenebilir mi;Alkol tüketimini sınırlamak, sağlıklı kiloda kalmak, hijyene dikkat etmek ve aşılanmak önleyici adımlardır.;kolay;711
Karaciğer hastalığı nasıl önlenir?;Alkol tüketimini sınırlamak, sağlıklı kiloda kalmak, hijyene dikkat etmek ve aşılanmak önleyici adımlardır.;kolay;1052
Karaciğer hastalığına yakalanmamak için ne yapılmalı?;Alkol tüketimini sınırlamak, sağlıklı kiloda kalmak, hijyene dikkat etmek ve aşılanmak önleyici adımlardır.;orta;1349
Karaciğer hastalığı riskini azaltmak için ne yapılır?;Alkol tüketimini sınırlamak, sağlıklı kiloda kalmak, hijyene dikkat etmek ve aşılanmak önleyici adımlardır.;orta;1529
Karaciğer hastalarında alkol tamamen bırakılmalı mı;Evet, çoğu durumda alkol karaciğer hasarını artırdığı için tamamen bırakılmalıdır.;zor;2013
Karaciğer hastalığında alkol bırakılmalı mı?;Evet, çoğu durumda alkol karaciğer hasarını artırdığı için tamamen bırakılmalıdır.;zor;2162
Karaciğer hastalığı olanlar alkol içebilir mi?;Evet, çoğu durumda alkol karaciğer hasarını artırdığı için tamamen bırakılmalıdır.;zor;2228
Karaciğer hastalığında alkol zararlı mı?;Evet, çoğu durumda alkol karaciğer hasarını artırdığı için tamamen bırakılmalıdır.;zor;215
